Code,Principal Commodity through CHENNAI SEA,2012-13 (Value in Rs. Crore),2013-14 (Value in Rs. Crore)
99,OTHER COMMODITIES,4577.79,5115.03
A7,PULSES,2154.24,2470.39
B8,VEGETABLE OILS,3948.2,3589.43
E5,NATURAL RUBBER,NA,2237.07
H5,BULK DRUGS  DRUG INTERMEDIATES,2548.77,2919
I3,ORGANIC CHEMICALS,3670.05,3640.42
I7,RESIDUAL CHEMICALS AND ALLIED PRODUCTS,3624.04,4024.52
I9,OTHER RUBBER PRODUCTS EXCEPT FOOTWEAR,2641.18,2690.99
K8,PLASTIC RAW MATERIALS,4688.4,5330.92
L3,IRON AND STEEL,11264.3,8160.85
L4,PRODUCTS OF IRON AND STEEL,5604.95,5229.87
L5,ALUMINIUM AND PRODUCTS MADE OF ALUMINIUM,2373.65,2707.68
M3,AUTO COMPONENTS/PARTS,10923.47,10995.55
M7,MACHINE TOOLS,4294.55,3129.83
N1,"AIR CONDITION AND REFRIGERATION MACHINERY AND PARTS, INDUSTRIAL FURNACES, WATER",2996.55,2612.96
N4,ELECTRIC MACHINERY AND EQUIPMENT,5311.56,5048.59
N5,IC ENGINES AND PARTS,7081.64,5720.87
N6,"INDUSTRIAL MACHINERY FOR DAIRY, AGRICULTURE, FOOD PROCESSING, TEXTILES, PAPER, C",8947.65,8405.2
N9,OTHER CONSTRUCTION MACHINERY,2571.46,2257.09
O1,OTHER MISC. ENGINEERING ITEMS,2365.67,2835.29
O9,COMPUTER HARDWARE  PERIPHERALS,6166.77,5021.39
P1,CONSUMER ELECTRONICS,2645.11,3229.09
P3,ELECTRONICS INSTRUMENTS,3066.28,3659.15
P5,PROJECT GOODS,3053.16,4440.38
S5,PETROLEUM: CRUDE,36163.42,41242.93
S6,PETROLEUM PRODUCTS,1702.42,NA
Sub Total for the Port,Sub Total for the Port,144385.27,146714.48
% Share Of Total Import of the Port,% Share Of Total Import of the Port,75.41%,76.90%
