Code,Principal Commodity through KOLKATA SEA,2012-13 (Value in Rs. Crore),2013-14 (Value in Rs. Crore)
99,OTHER COMMODITIES,956.37,1566.19
A7,PULSES,1486.22,2062.76
B8,VEGETABLE OILS,10275.28,9248.28
C4,SUGAR,909.21,828.03
F1,"COAL,COKE BRIQUITTES ETC",7710.37,7081.24
F2,BULK MINERALS AND ORES,1739.37,1589.71
F6,OTHER CRUDE MINERALS,650.55,NA
I2,INORGANIC CHEMICALS,1601.58,1646.97
I3,ORGANIC CHEMICALS,5941.77,7754.62
I7,RESIDUAL CHEMICALS AND ALLIED PRODUCTS,1421.05,1348.98
J5,CERAMICS AND ALLIED PRODUCTS,668.83,NA
J9,"PAPER, PAPER BOARD AND PRODUCTS",NA,887.19
K2,OTHER WOOD AND WOOD PRODUCTS,1262.48,1167.4
K8,PLASTIC RAW MATERIALS,1507.58,1627.5
L3,IRON AND STEEL,2953.74,1613.15
L4,PRODUCTS OF IRON AND STEEL,989.7,1006.25
L5,ALUMINIUM AND PRODUCTS MADE OF ALUMINIUM,644.78,NA
M7,MACHINE TOOLS,NA,710.34
N1,"AIR CONDITION AND REFRIGERATION MACHINERY AND PARTS, INDUSTRIAL FURNACES, WATER",1266.18,1236.86
N4,ELECTRIC MACHINERY AND EQUIPMENT,2250.15,2624.07
N6,"INDUSTRIAL MACHINERY FOR DAIRY, AGRICULTURE, FOOD PROCESSING, TEXTILES, PAPER, C",3931.73,4155.35
N7,"MACHINERY FOR ATMS, INJECTING MOULDING MACHINERY, VALVES, ETC",NA,728.44
N9,OTHER CONSTRUCTION MACHINERY,944.62,843.23
O1,OTHER MISC. ENGINEERING ITEMS,707.93,672.44
P1,CONSUMER ELECTRONICS,1027.46,646.91
P5,PROJECT GOODS,7214.11,4339.31
S5,PETROLEUM: CRUDE,2608.29,3311.16
S6,PETROLEUM PRODUCTS,13665.41,11822.24
Sub Total for the Port,Sub Total for the Port,74334.75,70518.64
% Share Of Total Import of the Port,% Share Of Total Import of the Port,84.52%,83.18%
