Code,Principal Commodity through TUTICORIN SEA,2012-13 (Value in Rs. Crore),2013-14 (Value in Rs. Crore)
99,OTHER COMMODITIES,837.67,1363.2
A2,COFFEE,NA,96.75
A7,PULSES,1155.49,1358.82
B2,CASHEW,2250.51,2392.94
B8,VEGETABLE OILS,709.95,193.16
F1,"COAL,COKE BRIQUITTES ETC",2173.74,1972.52
F2,BULK MINERALS AND ORES,14221.31,12949.67
F4,PROCESSED MINERALS,149.8,111.61
H2,FERTILEZERS CRUDE,511.68,610.7
H3,FERTILEZERS MANUFACTURED,871.75,731.58
I2,INORGANIC CHEMICALS,406.98,404.4
I3,ORGANIC CHEMICALS,391.79,534.52
J9,"PAPER, PAPER BOARD AND PRODUCTS",458.85,602.65
K1,PLYWOOD AND ALLIED PRODUCTS,220.64,197.88
K2,OTHER WOOD AND WOOD PRODUCTS,1577.61,1732.06
K3,PULP AND WASTE PAPER,143.9,151.43
K8,PLASTIC RAW MATERIALS,467.05,667.46
L3,IRON AND STEEL,466.49,318.32
L4,PRODUCTS OF IRON AND STEEL,146.49,NA
L5,ALUMINIUM AND PRODUCTS MADE OF ALUMINIUM,136.89,96.22
L6,COPPER AND PRODUCTS MADE OF COPPER,1597.29,1242.8
N4,ELECTRIC MACHINERY AND EQUIPMENT,218.58,110.01
N6,"INDUSTRIAL MACHINERY FOR DAIRY, AGRICULTURE, FOOD PROCESSING, TEXTILES, PAPER, C",800.19,955.94
Q3,"MANMADE YARN,FABRICS,MADEUPS",217.52,189.72
S4,COTTON RAW INCLD. WASTE,1215.38,1375.94
S6,PETROLEUM PRODUCTS,1560.96,2119.53
Sub Total for the Port,Sub Total for the Port,32908.52,32479.84
% Share Of Total Import of the Port,% Share Of Total Import of the Port,94.89%,95.91%
